architecture,architecture_label,mu_europe,status,stage1_status,stage2_status,solver,stage1_solver,stage2_solver,solve_time_seconds,stage1_solve_time_seconds,stage2_solve_time_seconds,turnover_constraint_applied,turnover_reference_available,n_scenarios,scenario_source,scenario_seed,portfolio_cvar_limit_mode,cvar_portfolio_benchmark_factor,requested_portfolio_cvar_limit,effective_portfolio_cvar_limit,benchmark_portfolio_cvar_demeaned,cvar_te_limit,expected_return,stage1_expected_return,stage2_expected_return,objective_loss_pct,stage2_bm_distance_objective,portfolio_cvar,portfolio_cvar_demeaned,portfolio_cvar_full,te_cvar,te_cvar_demeaned,te_cvar_full,bm_dist_l2,bm_dist_l1,max_weight,herfindahl,effective_n,turnover,error_message,w_US,w_Europe,w_EM,w_Japan,aw_US,aw_Europe,aw_EM,aw_Japan,stage1_w_US,stage1_w_Europe,stage1_w_EM,stage1_w_Japan,stage1_aw_US,stage1_aw_Europe,stage1_aw_EM,stage1_aw_Japan,adj_abs_change_US,adj_change_US,adj_abs_change_Europe,adj_change_Europe,adj_abs_change_EM,adj_change_EM,adj_abs_change_Japan,adj_change_Japan,adj_l1_change,adj_l2_change,adj_max_jump,instability_score,portfolio_risk_factor,te_cvar_limit,turnover_limit,is_feasible
A,Architecture A: Standard Optimization,0.07,infeasible,,,CLARABEL,,,0.5766376,,,True,True,10000,excel_workbook,,benchmark_factor,0.95,0.25,0.2610625198591124,0.27480265248327623,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.95,0.01,0.2,False
B,Architecture B: Stronger Single-Stage,0.07,infeasible,,,CLARABEL,,,1.327896,,,True,True,10000,excel_workbook,,benchmark_factor,0.95,0.25,0.2610625198591124,0.27480265248327623,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.95,0.01,0.2,False
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,0.07,infeasible,infeasible,not_run,CLARABEL,CLARABEL,,1.327896,1.327896,,True,True,10000,excel_workbook,,benchmark_factor,0.95,0.25,0.2610625198591124,0.27480265248327623,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.95,0.01,0.2,False
A,Architecture A: Standard Optimization,0.0695,infeasible,,,CLARABEL,,,0.6252379,,,True,True,10000,excel_workbook,,benchmark_factor,0.95,0.25,0.2610625198591124,0.27480265248327623,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.95,0.01,0.2,False
B,Architecture B: Stronger Single-Stage,0.0695,infeasible,,,CLARABEL,,,1.9205901,,,True,True,10000,excel_workbook,,benchmark_factor,0.95,0.25,0.2610625198591124,0.27480265248327623,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.95,0.01,0.2,False
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,0.0695,infeasible,infeasible,not_run,CLARABEL,CLARABEL,,1.9205901,1.9205901,,True,True,10000,excel_workbook,,benchmark_factor,0.95,0.25,0.2610625198591124,0.27480265248327623,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.95,0.01,0.2,False
A,Architecture A: Standard Optimization,0.069,infeasible,,,CLARABEL,,,0.4742323,,,True,True,10000,excel_workbook,,benchmark_factor,0.95,0.25,0.2610625198591124,0.27480265248327623,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.95,0.01,0.2,False
B,Architecture B: Stronger Single-Stage,0.069,infeasible,,,CLARABEL,,,2.1920202,,,True,True,10000,excel_workbook,,benchmark_factor,0.95,0.25,0.2610625198591124,0.27480265248327623,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.95,0.01,0.2,False
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,0.069,infeasible,infeasible,not_run,CLARABEL,CLARABEL,,2.1920202,2.1920202,,True,True,10000,excel_workbook,,benchmark_factor,0.95,0.25,0.2610625198591124,0.27480265248327623,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.95,0.01,0.2,False
A,Architecture A: Standard Optimization,0.0685,infeasible,,,CLARABEL,,,0.7806624,,,True,True,10000,excel_workbook,,benchmark_factor,0.95,0.25,0.2610625198591124,0.27480265248327623,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.95,0.01,0.2,False
