rebalance_month,method,method_label,eval_start,eval_end,lookback_start,lookback_end,l1_change,turnover,max_abs_weight_change,weight_entropy,effective_n_entropy,herfindahl_hhi,effective_n_hhi,max_weight,top3_weight,n_positions_gt_1pct,w_SPY,w_EFA,w_EEM,w_AGG,w_LQD,w_HYG,w_GLD,w_VNQ,w_DBC
2022-01,rolling_mvpo,Rolling MVPO,2022-01-07,2022-01-28,2019-01-11,2021-12-31,,,,1.1101441949472919,3.0347959651314094,0.41396380236855224,2.4156701486418837,0.6,0.878471199049967,4,0.0,4.454638836050136e-18,4.4810598366073826e-17,0.6,7.837306122570495e-17,0.1537519447612395,0.12471925428872743,0.0,0.12152880095003306
2022-01,rolling_repo,Rolling REPO,2022-01-07,2022-01-28,2019-01-11,2021-12-31,,,,1.3935830428862572,4.02926123544055,0.3687437798005384,2.7119101521954403,0.571446938599,0.82732103639,7,0.067675475251,0.003615807988,0.053609914228,0.571446938599,0.15122712247,0.104646975321,0.006152698368,0.021198797908,0.020426269866
2022-02,rolling_mvpo,Rolling MVPO,2022-02-04,2022-02-25,2019-02-08,2022-01-28,0.01388946473867772,0.00694473236933886,0.006944732369338777,1.1106632018058387,3.036371453860965,0.41381849384328545,2.4165183888052706,0.5999999999999999,0.8792323330992831,4,0.0,2.3462905895892888e-17,8.087042999102325e-17,0.5999999999999999,3.7304856157835055e-17,0.1507587997799113,0.12076766690071689,0.0,0.12847353331937184
2022-02,rolling_repo,Rolling REPO,2022-02-04,2022-02-25,2019-02-08,2022-01-28,0.0,0.0,0.0,1.3935830428862572,4.02926123544055,0.3687437798005384,2.7119101521954403,0.571446938599,0.82732103639,7,0.067675475251,0.003615807988,0.053609914228,0.571446938599,0.15122712247,0.104646975321,0.006152698368,0.021198797908,0.020426269866
2022-03,rolling_mvpo,Rolling MVPO,2022-03-04,2022-03-25,2019-03-08,2022-02-25,0.018921953570968344,0.009460976785484172,0.009460976785484104,1.111946526826728,3.040270606725501,0.4134689984677384,2.418561013536367,0.6,0.8751497720295192,4,8.673617379884035e-18,1.646478323224542e-17,0.0,0.6,0.0,0.1412978229944272,0.12485022797048076,0.0,0.13385194903509195
2022-03,rolling_repo,Rolling REPO,2022-03-04,2022-03-25,2019-03-08,2022-02-25,0.0,0.0,0.0,1.3935830428862572,4.02926123544055,0.3687437798005384,2.7119101521954403,0.571446938599,0.82732103639,7,0.067675475251,0.003615807988,0.053609914228,0.571446938599,0.15122712247,0.104646975321,0.006152698368,0.021198797908,0.020426269866
2022-04,rolling_mvpo,Rolling MVPO,2022-04-01,2022-04-29,2019-04-05,2022-03-25,0.08552763620490847,0.042763818102454235,0.042763818102454054,1.1275904876163645,3.088206456542738,0.41502817788118157,2.409474954460297,0.5999999999999999,0.9014481735719488,4,0.0,5.878433809927496e-18,0.007463695495413313,0.5999999999999999,1.659056022658774e-17,0.17562311145562962,0.1258250621163193,0.0,0.0910881309326379
2022-04,rolling_repo,Rolling REPO,2022-04-01,2022-04-29,2019-04-05,2022-03-25,0.0,0.0,0.0,1.3935830428862572,4.02926123544055,0.3687437798005384,2.7119101521954403,0.571446938599,0.82732103639,7,0.067675475251,0.003615807988,0.053609914228,0.571446938599,0.15122712247,0.104646975321,0.006152698368,0.021198797908,0.020426269866
2022-05,rolling_mvpo,Rolling MVPO,2022-05-06,2022-05-27,2019-05-10,2022-04-29,0.014522733012478577,0.007261366506239288,0.007261366506239277,1.100199638637418,3.004765831428413,0.41696013398803206,2.3983108179562866,0.6,0.9065247184381808,4,4.0332320816460765e-17,0.0,0.00020232898917403605,0.6,0.0,0.1785758720392252,0.12794884639895565,0.0,0.09327295257264509
2022-05,rolling_repo,Rolling REPO,2022-05-06,2022-05-27,2019-05-10,2022-04-29,0.0,0.0,0.0,1.3935830428862572,4.02926123544055,0.3687437798005384,2.7119101521954403,0.571446938599,0.82732103639,7,0.067675475251,0.003615807988,0.053609914228,0.571446938599,0.15122712247,0.104646975321,0.006152698368,0.021198797908,0.020426269866
2022-06,rolling_mvpo,Rolling MVPO,2022-06-03,2022-06-24,2019-06-07,2022-05-27,0.019364829222897294,0.009682414611448647,0.009682414611448531,1.1100093518074379,3.0343867713037653,0.41567674427877616,2.4057155319936396,0.5999999999999999,0.903465578467933,4,3.86698786784573e-18,0.0,0.0014556668620123354,0.5999999999999999,3.8429772100328054e-17,0.16889345742777667,0.1345721210401564,0.0,0.09507875467005462
2022-06,rolling_repo,Rolling REPO,2022-06-03,2022-06-24,2019-06-07,2022-05-27,0.0,0.0,0.0,1.3935830428862572,4.02926123544055,0.3687437798005384,2.7119101521954403,0.571446938599,0.82732103639,7,0.067675475251,0.003615807988,0.053609914228,0.571446938599,0.15122712247,0.104646975321,0.006152698368,0.021198797908,0.020426269866
2022-07,rolling_mvpo,Rolling MVPO,2022-07-01,2022-07-29,2019-07-05,2022-06-24,0.04087307847155116,0.02043653923577558,0.018524859347041428,1.1350326754576283,3.1112752035852984,0.41332783151645336,2.4193870428011404,0.5999999999999999,0.8985881518389938,4,6.613633220747398e-18,0.0,0.00824477337968563,0.5999999999999999,7.396627144895765e-17,0.15036859808073524,0.14821955375825865,0.0,0.09316707478132048
2022-07,rolling_repo,Rolling REPO,2022-07-01,2022-07-29,2019-07-05,2022-06-24,0.3086990741199999,0.15434953705999996,0.12172187643999999,1.4917450202726998,4.44484510025791,0.30973850984369783,3.228529770174933,0.501261865712,0.78365883685,8,0.025356170391,0.012756460121,0.041402709524,0.501261865712,0.15452239633,0.124838709948,0.127874574808,9.5335385e-05,0.01189177778
2022-08,rolling_mvpo,Rolling MVPO,2022-08-05,2022-08-26,2019-08-09,2022-07-29,0.015513556904257327,0.007756778452128663,0.007756778452128493,1.130261408889564,3.0964658380323336,0.41409998116031815,2.4148757437708057,0.6,0.9031351107815953,4,0.0,3.81639103815389e-17,0.0073403526198452,0.6,0.0,0.15812537653286374,0.14500973424873148,0.0,0.08952453659855948
2022-08,rolling_repo,Rolling REPO,2022-08-05,2022-08-26,2019-08-09,2022-07-29,0.0,0.0,0.0,1.4917450202726998,4.44484510025791,0.30973850984369783,3.228529770174933,0.501261865712,0.78365883685,8,0.025356170391,0.012756460121,0.041402709524,0.501261865712,0.15452239633,0.124838709948,0.127874574808,9.5335385e-05,0.01189177778
2022-09,rolling_mvpo,Rolling MVPO,2022-09-02,2022-09-30,2019-09-06,2022-08-26,0.016090002986775022,0.008045001493387511,0.006849345580392019,1.1226991247359077,3.0731378012881634,0.4153336087400975,2.407703058352227,0.5999999999999998,0.9111801122749823,4,3.058579506204149e-17,3.203495905950712e-17,0.006144696706849903,0.5999999999999998,1.5006992504596387e-16,0.16028756052028809,0.15089255175469443,0.0,0.08267519101816746
