scenario,horizon_weeks,asset,source,contribution
single_short_view,4,SPY,prior,0.01068444971566183
single_short_view,4,SPY,SPY_minus_AGG_4w_risk_on,0.002936463857319638
single_short_view,4,SPY,posterior_total,0.013620913572981468
single_short_view,4,EFA,prior,0.0056201559231414
single_short_view,4,EFA,SPY_minus_AGG_4w_risk_on,0.0024403466045470807
single_short_view,4,EFA,posterior_total,0.00806050252768848
single_short_view,4,EEM,prior,0.005202014238045391
single_short_view,4,EEM,SPY_minus_AGG_4w_risk_on,0.0023650361976436415
single_short_view,4,EEM,posterior_total,0.007567050435689032
single_short_view,4,AGG,prior,0.0004726617207646137
single_short_view,4,AGG,SPY_minus_AGG_4w_risk_on,-7.558039584186646e-05
single_short_view,4,AGG,posterior_total,0.00039708132492274727
single_short_view,4,GLD,prior,0.00979108113246034
single_short_view,4,GLD,SPY_minus_AGG_4w_risk_on,3.397163378993932e-05
single_short_view,4,GLD,posterior_total,0.00982505276625028
single_short_view,12,SPY,prior,0.03205334914698549
single_short_view,12,SPY,SPY_minus_AGG_4w_risk_on,0.002936463857319638
single_short_view,12,SPY,posterior_total,0.03498981300430513
single_short_view,12,EFA,prior,0.016860467769424202
single_short_view,12,EFA,SPY_minus_AGG_4w_risk_on,0.0024403466045470807
single_short_view,12,EFA,posterior_total,0.01930081437397128
single_short_view,12,EEM,prior,0.015606042714136174
single_short_view,12,EEM,SPY_minus_AGG_4w_risk_on,0.0023650361976436415
single_short_view,12,EEM,posterior_total,0.017971078911779813
single_short_view,12,AGG,prior,0.0014179851622938412
single_short_view,12,AGG,SPY_minus_AGG_4w_risk_on,-7.558039584186646e-05
single_short_view,12,AGG,posterior_total,0.0013424047664519748
single_short_view,12,GLD,prior,0.029373243397381017
single_short_view,12,GLD,SPY_minus_AGG_4w_risk_on,3.397163378993932e-05
single_short_view,12,GLD,posterior_total,0.02940721503117096
single_long_view,4,SPY,prior,0.01068444971566183
single_long_view,4,SPY,GLD_12w_positive,0.00029846956218879177
single_long_view,4,SPY,posterior_total,0.010982919277850622
single_long_view,4,EFA,prior,0.0056201559231414
single_long_view,4,EFA,GLD_12w_positive,0.0004896253913638708
single_long_view,4,EFA,posterior_total,0.006109781314505271
single_long_view,4,EEM,prior,0.005202014238045391
single_long_view,4,EEM,GLD_12w_positive,0.0006505608995992244
single_long_view,4,EEM,posterior_total,0.005852575137644616
single_long_view,4,AGG,prior,0.0004726617207646137
single_long_view,4,AGG,GLD_12w_positive,0.0002688607102117663
single_long_view,4,AGG,posterior_total,0.00074152243097638
single_long_view,4,GLD,prior,0.00979108113246034
single_long_view,4,GLD,GLD_12w_positive,0.0020257806296974904
single_long_view,4,GLD,posterior_total,0.01181686176215783
single_long_view,12,SPY,prior,0.03205334914698549
single_long_view,12,SPY,GLD_12w_positive,0.0008954086865663752
single_long_view,12,SPY,posterior_total,0.03294875783355186
