Industry Name,number_of_firms,forward_pe,expected_growth,peg_ratio,pbv,roe,roic,price_sales,net_margin,ev_sales,pre_tax_operating_margin,ev_ebitda,beta,de_ratio,effective_tax_rate,std_dev_equity,retention_ratio,fundamental_growth,net_capex_sales,sales_invested_capital,dividend_payout,dividend_yield,cost_of_equity,after_tax_cost_of_debt,cost_of_capital,raw_pe_score,raw_pbv_score,raw_ps_score,raw_ev_ebitda_score,adj_pe_score,adj_pbv_score,adj_ps_score,adj_ev_ebitda_score,raw_composite_score,adjusted_composite_score,quality_overlay_delta,pe_model_predicted,pe_model_residual,pe_model_mispricing,pe_model_mispricing_z,pbv_model_predicted,pbv_model_residual,pbv_model_mispricing,pbv_model_mispricing_z,ps_model_predicted,ps_model_residual,ps_model_mispricing,ps_model_mispricing_z,ev_ebitda_model_predicted,ev_ebitda_model_residual,ev_ebitda_model_mispricing,ev_ebitda_model_mispricing_z,regression_composite_score,final_value_score,valuation_regime,action,score_q25,score_q75
Information Services,6.0,7.749083518107908,0.14900000000000002,0.5538612862622234,1.0027499436948464,0.12294501905280347,0.2500282493389675,0.3191066633740845,0.03826063046867823,0.6993477820354023,0.09364038617037289,5.3525165430118316,0.8249973843115825,1.5792651440082768,0.1953176605025154,0.4810931222561332,0.5039253418708809,0.061955110757505955,-0.0026311554292095954,3.318191252459301,0.49607465812911905,0.05947894969934851,0.08297736215322041,0.042738237199999994,0.05833924086055707,1.0711382369717957,0.7591941768384254,0.9789713517492037,1.3592839659511444,1.1372871696373472,1.649561128891846,0.8898033123845878,2.989711556739702,1.0421469328776423,1.6665907919133707,0.6244438590357284,19.77774366927643,-12.02866015116852,12.02866015116852,1.110395080293476,3.1056471074390677,-2.1028971637442213,2.1028971637442213,1.7022122651586997,1.3801487322003076,-1.0610420688262232,1.0610420688262232,0.9129675391039805,7.768399699079232,-2.415883156067401,2.415883156067401,0.5936895892380357,1.079816118448548,1.4318809225274416,cheap,overweight,-0.3828552773019129,0.6002386171660951
Banks (Regional),69.0,13.40679313419816,,,0.7481532829322183,0.07267293825580229,,4.307087946838171,0.35098431334123154,11.602242132746214,3.095631746956229e-05,,0.38652112292623775,2.7426900426958722,0.1775357159868431,0.17423795117903554,0.661866048167789,0.048099750452109596,0.03832742448401492,0.0977239719437445,0.33813395183221095,0.027554513482434994,0.059869663178212726,0.038564386400000004,0.04425689006318512,0.5771511500386471,0.8958246860668587,-1.5230875125762013,,,,2.345622485550272,,-0.016703892156898492,2.345622485550272,2.362326377707171,,,,,,,,,4.23785574592463,0.06923220091354043,-0.06923220091354043,-0.05957044866723244,,,,,-0.05957044866723244,1.3835453118632701,cheap,overweight,-0.3828552773019129,0.6002386171660951
Precious Metals,39.0,11.316370735835289,1.6473333333333333,0.13689417921266173,2.4763345261601137,0.0823919335534219,0.1517881328561717,3.038303225727651,0.09014978482934949,3.1666820070475223,0.2081903636208875,7.129200551037636,0.9742598138772133,0.08395537160258894,0.06740197061731103,0.6311106035578247,0.6036033645703963,0.04973204830630599,-0.0013543078914904892,0.7891926109106963,0.3963966354296037,0.011761522381459664,0.09084349219132914,0.042738237199999994,0.08711760580832865,0.7596705335167772,-0.03161199984239561,-0.7270521671902077,1.0094508285668977,6.514099076026928,-0.3109178569100063,-0.6855109872771044,1.519924858214979,0.25261429876276786,1.759398772513699,1.506784473750931,20.851848507133496,-9.535477771298208,9.535477771298208,0.8802433082681071,2.4944816420349563,-0.018147115874842523,0.018147115874842523,0.014689374141535353,2.1719355717988087,0.8663676539288425,-0.8663676539288425,-0.7454610596559174,15.833750137448243,-8.704549586410607,8.704549586410607,2.1390937121604963,0.5721413337285554,1.2844957969996416,cheap,overweight,-0.3828552773019129,0.6002386171660951
Insurance (General),34.0,13.457123069551413,0.116,1.2501480306060382,2.153877237154947,0.18737174775941373,0.24556405806665307,1.1951580653698102,0.08195262776999294,1.359006494126043,0.14841163969579851,8.066615736868478,0.7729790871008124,0.31108759864683566,0.20553273819119847,0.21707711866591245,0.5869040620725039,0.1099692398776245,0.024208325150162836,2.08266893377912,0.4130959379274961,0.028326209407115433,0.08023599789021281,0.038564386400000004,0.07034838888253571,0.5727567325379717,0.1414362383757516,0.4293368323855313,0.8248716383397984,0.5811971755445218,1.8683331390409605,1.435513294229238,2.118513011688135,0.49210036040976324,1.5008891551257137,1.0087887947159504,19.266949806605634,-5.809826737054221,5.809826737054221,0.5363193360779923,3.778621182400476,-1.624743945245529,1.624743945245529,1.3151661046586802,1.793322882066206,-0.5981648166963958,0.5981648166963958,0.5146874725542415,10.650639808438111,-2.584024071569633,2.584024071569633,0.6350092659814762,0.7502955448180976,1.200651711002667,cheap,overweight,-0.3828552773019129,0.6002386171660951
Oil/Gas (Integrated),12.0,10.099115861665528,0.0623475,2.4381784520591143,2.14129135325794,0.15196593898408733,0.17042975983835443,1.4900480155032407,0.09802023304720889,1.6565387710095947,0.21365360265293543,5.938902078976677,0.4332455237806239,0.19363630336404225,0.40262751929178425,0.22315556119484858,0.08986452388722121,0.013656346753879518,0.02261421202387537,1.351549629449356,0.9101354761127788,0.05987168906297098,0.06233203910323888,0.038564386400000004,0.058476358443958584,0.8659517374223656,0.1481905128457583,0.24432292151508644,1.243823315190142,1.6619465576867753,1.6058349297199848,0.975400305392611,2.4959637631308516,0.6255721217433381,1.6847863889825556,1.0592142672392175,13.743637163340269,-3.6445213016747413,3.6445213016747413,0.336434687865986,2.3844270594973427,-0.24313570623940262,0.24313570623940262,0.19680875907495046,1.4848580263846658,0.005189989118574934,-0.005189989118574934,-0.004465696255383009,10.701869691849238,-4.76296761287256,4.76296761287256,1.1704722881728178,0.42481250971459283,1.1807968372753703,cheap,overweight,-0.3828552773019129,0.6002386171660951
Advertising,83.0,16.196582183931316,0.09474333333333335,1.7000104457261314,1.8034446823004926,0.0917740322141609,0.5089609803619859,0.9154149500838276,0.04446797219051669,1.2679644876936245,0.11333165839564122,8.411678369856356,0.9171297204587483,0.5289594586663361,0.14455754809953816,0.3966620011294499,0.0685387778598886,0.006290080007232635,0.0231959719031176,5.4160059235891165,0.9314612221401114,0.04524744949695019,0.08783273626817603,0.041070036799999994,0.07165469305306095,0.3335685239674235,0.32949753610276883,0.604847621324669,0.7569280181198178,0.18637023542993375,1.9066851575767447,-0.21475418842704014,4.295229255420483,0.5062104248786697,1.5433826150000303,1.0371721901213604,20.1946114593636,-3.998029275432284,3.998029275432284,0.3690678747689145,3.9548176128320396,-2.151372930531547,2.151372930531547,1.741451485321724,1.5804323784517973,-0.6650174283679697,0.6650174283679697,0.5722104173588618,7.2442151096893275,1.167463260167028,-1.167463260167028,-0.28689747748699757,0.5989580749906257,1.1656127989962684,cheap,overweight,-0.3828552773019129,0.6002386171660951
Air Transport,33.0,12.741611055527454,0.07469631578947368,1.4088209783407533,2.0058951180508,0.2515105938415804,0.13170531730204219,0.8079550840112902,0.07591760452239492,1.231607592947047,0.10509084198601426,7.648508070829411,1.131614818302348,0.6775818428917153,0.2036085512845582,0.26562107776011545,0.7330909388742972,0.18438013737615622,0.01002082846839444,1.5758842650926148,0.26690906112570273,0.025079483930447895,0.09913610092453373,0.038564386400000004,0.07467094941580125,0.6352296623023698,0.2208515466101091,0.6722679253217987,0.9071979923307818,-0.3993432336647701,1.6592977460299119,1.7785067805637824,0.9443405046670923,0.6088867816412649,0.9957004493990043,0.3868136677577394,24.419534674401397,-11.677923618873944,11.677923618873944,1.078017731940072,4.792137540597804,-2.786242422547004,2.786242422547004,2.2553532845707287,2.240359100691822,-1.432404016680532,1.432404016680532,1.2325037889950645,11.989194245068752,-4.340686174239341,4.340686174239341,1.0666990186687157,1.4081434560436454,1.1606776520568607,cheap,overweight,-0.3828552773019129,0.6002386171660951
Insurance (Prop/Cas.),19.0,13.469863015645215,0.1087111111111111,1.194280481710557,1.9046190874469748,0.17056334990672828,0.1695600383424429,2.019340227206815,0.15553539186139162,2.2991606898197836,0.20518397607218392,10.65864735643733,0.5644046247304102,0.17808457978077746,0.2004071907203176,0.23392620316288243,0.6913621638735932,0.11792104666904449,-0.00190261274102631,1.0335016751356874,0.30863783612640683,0.02377217377161487,0.06924412372329261,0.038564386400000004,0.06460643622379246,0.5716443797864864,0.2752018102490194,-0.08775493341430782,0.31449469478835307,0.9670654287768293,1.7577724214990982,2.172249556112723,1.5797403833901433,0.26839648785238773,1.6192069474446984,1.3508104595923107,16.67057287915954,-3.2007098635143247,3.2007098635143247,0.29546536698418974,2.8614954602106444,-0.9568763727636695,0.9568763727636695,0.7745536615108585,2.3150312528346566,-0.2956910256278418,0.2956910256278418,0.2544256405414935,11.775505939240826,-1.1168585828034967,1.1168585828034967,0.2744616649179877,0.3997265834886323,1.131414801862272,cheap,overweight,-0.3828552773019129,0.6002386171660951
Brokerage & Investment Banking,69.0,14.125464593047344,0.1636,0.8378105265449153,3.1114562095196963,0.2830562442108813,,0.9722188281292997,0.06954813706572675,1.3818085872099415,0.007396169231778204,26.618957023274557,0.7301672824932016,0.7492014238361187,0.19043405018547374,0.3770426736855972,0.6099233644113201,0.17264261678673298,-0.00028887727524485376,1.7382469796084212,0.3900766355886799,0.027904317971561683,0.07797981578739172,0.041070036799999994,0.06217096805035654,0.5144023621883022,-0.3724530727751852,0.5692088766843537,-2.8281267163076684,0.8004546674313109,,2.226916940658791,,-0.5292421375525495,1.513685804045051,2.0429279415976005,18.699980882159835,-4.574516289112491,4.574516289112491,0.42228480298858784,,,,,1.5946529299342822,-0.6224341018049825,0.6224341018049825,0.5355698391939644,,,,,0.4789273210912761,1.099782410863541,cheap,overweight,-0.3828552773019129,0.6002386171660951
Bank (Money Center),113.0,10.35131006635407,0.1493006896551724,0.7305135718089737,1.2449192258734683,0.1299913646358585,,3.4123196699028764,0.31015908586086904,9.602390493735324,7.970568809841306e-06,,1.0760892056434894,2.8889470317622936,0.21704732753554598,0.2756925824602292,0.5443538305923372,0.07076129728345486,0.031060996458417756,0.12458696094603833,0.45564616940766284,0.04141546310152993,0.09620990113741189,0.038564386400000004,0.05338729714334575,0.8439321059868438,0.6292328794496962,-0.9617100286582071,,0.3285443580078797,,1.4425055348435425,,0.17048498559277767,0.8855249464257111,0.7150399608329334,23.24004665151294,-12.88873658515887,12.88873658515887,1.1897908424961736,,,,,4.770065509214474,-1.3577458393115975,1.3577458393115975,1.168264590127194,,,,,1.1790277163116838,1.0029260543801002,cheap,overweight,-0.3828552773019129,0.6002386171660951
Education,18.0,14.305175802511384,0.1129,1.3080871330464716,1.8196729710113988,0.1239161159367076,0.1665576919229589,1.4320628435496656,0.09325372612791807,1.6477011675107949,0.13463550265169744,10.450875443167593,0.5332450583414601,0.2061501355723143,0.15851438148394947,0.5132741195267737,0.6528788409406332,0.08090221014662279,-0.03125920948297877,1.8462720741280243,0.34712115905936675,0.02260399510114448,0.06760201457459494,0.042738237199999994,0.0633524017565518,0.49871138069998,0.32078854776083443,0.2807028097777145,0.35540545885846214,0.9998039349456281,1.2716188190737996,1.5281626979753993,1.546321821598939,0.36390204927424774,1.3364768183984415,0.9725747691241937,16.171207208185997,-1.8660314056746135,1.8660314056746135,0.1722579295195168,2.2164917034885616,-0.3968187324771628,0.3968187324771628,0.32120910385588086,1.5757721711274504,-0.14370932757778476,0.14370932757778476,0.12365386349866467,10.526598048947537,-0.07572260577994427,0.07572260577994427,0.01860840107627818,0.15893232448758512,0.8654590208340989,cheap,overweight,-0.3828552773019129,0.6002386171660951
Tobacco,5.0,10.710468437290062,0.028266666666666673,7.711903772004464,2.1643914079865003,0.0947406146402652,0.1291009658666117,2.5435873425743325,0.11668377086988665,3.4007629893417946,0.3044248652551364,9.440814165178725,0.19041592875527338,0.39103015338543073,0.21060670608648788,0.13603481746373902,-0.30083222999810877,-0.028501030373622453,-0.041985853168691606,0.5428813231937953,1.3008322299981088,0.059673991659214,0.049534919445402906,0.038564386400000004,0.04645101130076386,0.8125731976219194,0.1357937585783859,-0.4166674956525486,0.5542888304839106,2.2061201056493918,1.072234686074731,0.4923593380682255,2.792398529873506,0.27149707275791685,1.6407781649164637,1.3692810921585468,9.722126102520843,0.9883423347692197,-0.9883423347692197,-0.09123630166464566,1.0463397719702177,1.1180516360162827,-1.1180516360162827,-0.9050186764811065,1.3447557801857266,1.1988315623886059,-1.1988315623886059,-1.0315277155079134,11.277971454630919,-1.8371572894521933,1.8371572894521933,0.45147098848770056,-0.3940779262914912,0.8268357284332817,cheap,overweight,-0.3828552773019129,0.6002386171660951
