country_name,count,sum(Market Cap (in US $)),forward_pe,dividend_yield,forward_earnings_yield,total_equity_risk_premium,country_risk_premium,valuation_spread,allocation_signal
Peru,46,59524.959,9.164265129682999,0.07584756169256665,0.10911949685534589,0.06299351767277012,0.020693517672770126,0.04612597918257577,overweight
Luxembourg,50,278604.43,11.45214521452145,0.014113738248885706,0.0873198847262248,0.0423,0.0,0.045019884726224806,overweight
Philippines,219,185384.29,9.347826086956522,0.0377414504756579,0.10697674418604651,0.06694963134550559,0.024649631345505598,0.04002711284054092,overweight
Hong Kong,1305,1237851.291,11.375,0.04436827476718282,0.08791208791208792,0.050060069127288796,0.007760069127288798,0.03785201878479912,overweight
Poland,559,162444.92,11.05228758169935,0.03508266722037229,0.09047900650502659,0.05325539170911359,0.010955391709113598,0.037223614795913,overweight
Greece,140,88936.08,9.352226720647774,0.036199580417756214,0.10692640692640691,0.07075358680005893,0.028453586800058932,0.03617282012634798,overweight
Chile,98,154965.31,11.35198135198135,0.046458571276371464,0.08809034907597538,0.05325539170911359,0.010955391709113598,0.034834957366861784,overweight
Qatar,35,84265.8,12.01587301587302,0.04218645049355729,0.08322324966974899,0.0486906451636496,0.0063906451636495986,0.03453260450609939,overweight
Brazil,245,434178.044,9.173469387755102,0.04471846208787101,0.10901001112347053,0.07470970047279439,0.032409700472794394,0.03430031065067614,overweight
South Korea,2486,2433460.445,12.27467811158798,0.011801840481528764,0.08146853146853149,0.0486906451636496,0.0063906451636495986,0.03277788630488189,overweight
Vietnam,606,214608.751,13.61963190184049,0.01967072512341307,0.07342342342342342,0.08125250385462612,0.038952503854626126,-0.0078290804312027,underweight
Romania,198,58049.933,16.57894736842105,0.030825321314324344,0.060317460317460325,0.07075358680005893,0.028453586800058932,-0.010436126482598604,underweight
China,6128,15606611.731,26.46153846153846,0.022540027147677368,0.03779069767441861,0.051429493090927994,0.009129493090928,-0.013638795416509385,underweight
Israel,541,437862.8039999998,23.34302325581395,0.015331392707200594,0.04283935242839353,0.06299351767277012,0.020693517672770126,-0.020154165244376583,underweight
Egypt,162,38949.36600000001,8.95,0.0367525443161257,0.111731843575419,0.13937694320020103,0.09707694320020104,-0.027645099624782024,underweight
Pakistan,369,50774.02700000001,9.5,0.04089825177742943,0.10526315789473684,0.13937694320020103,0.09707694320020104,-0.03411378530546419,underweight
India,4520,4013915.843,28.03846153846154,0.01151727229424127,0.03566529492455418,0.07075358680005893,0.028453586800058932,-0.035088291875504746,underweight
Morocco,58,73226.18000000001,26.98850574712644,0.020401768875557894,0.037052810902896076,0.07470970047279439,0.032409700472794394,-0.037656889569898315,underweight
Nigeria,85,49894.482,11.92982456140351,0.020720834420126857,0.0838235294117647,0.1264434946547197,0.08414349465471971,-0.04261996524295501,underweight
Argentina,60,54273.007,29.21875,0.021573700532200105,0.034224598930481284,0.13937694320020103,0.09707694320020104,-0.10515234426971974,underweight
