Industry Name,number_of_firms,forward_pe,expected_growth,peg_ratio,pbv,roe,roic,price_sales,net_margin,ev_sales,pre_tax_operating_margin,ev_ebitda,beta,de_ratio,effective_tax_rate,std_dev_equity,retention_ratio,fundamental_growth,net_capex_sales,sales_invested_capital,dividend_payout,dividend_yield,cost_of_equity,after_tax_cost_of_debt,cost_of_capital,raw_pe_score,raw_pbv_score,raw_ps_score,raw_ev_ebitda_score,adj_pe_score,adj_pbv_score,adj_ps_score,adj_ev_ebitda_score,raw_composite_score,adjusted_composite_score,quality_overlay_delta,pe_model_predicted,pe_model_residual,pe_model_mispricing,pe_model_mispricing_z,pbv_model_predicted,pbv_model_residual,pbv_model_mispricing,pbv_model_mispricing_z,ps_model_predicted,ps_model_residual,ps_model_mispricing,ps_model_mispricing_z,ev_ebitda_model_predicted,ev_ebitda_model_residual,ev_ebitda_model_mispricing,ev_ebitda_model_mispricing_z,regression_composite_score,final_value_score,valuation_regime,action,score_q25,score_q75
Tobacco,10.0,17.640465594812504,0.06113333333333334,3.240374724058514,,,0.6307780350577148,5.298208543770406,0.2665422452740549,6.395192946988778,0.43683887646075187,13.460903542148296,0.794314579701523,0.22968502777837752,0.1476725198349122,0.659579872239021,0.12395332322536812,,-0.009100870596708189,1.8241696810329024,0.8760466767746319,0.044072151230614774,0.07492643025468793,0.04514625,0.0693639802170545,0.6106973854458652,,-0.9112680248924512,0.2304281920829464,0.8220075103654467,,,5.4982483794334325,-0.02338081578787987,3.1601279448994397,3.1835087606873196,23.71439830839249,-6.073932713579985,6.073932713579985,0.41702404778075397,,,,,,,,,10.41836590889854,3.042537633249756,-3.042537633249756,-0.5252358378762104,-0.054105895047728225,1.8744344089205724,cheap,overweight,-0.33695857719619016,0.5694306980667888
Precious Metals,56.0,16.451797046608633,0.7176666666666667,0.2584914092880965,3.6400986846215324,0.23523056888876692,0.25451637862422194,5.840427032700466,0.2858521770271587,5.981737028870388,0.40431075341190764,10.676341144431332,0.8365606512291942,0.07281104300881082,0.05974812957530874,0.6994720354601837,0.7484904425845089,0.17606783261695896,0.06119648959370419,0.6777961663635823,0.25150955741549114,0.012309811273699464,0.07681060504482207,0.04514625,0.0746615642309349,0.6882593291516239,0.19215332619533063,-1.1239501882663099,0.5552298247659907,3.880881324090646,1.4646086396897966,1.8899917466452258,2.3323654676255052,0.07792307296165885,2.3919617945127936,2.314038721551135,36.14087452285588,-19.68907747624725,19.68907747624725,1.3518126020487355,6.499473770682579,-2.8593750860610467,2.8593750860610467,0.34968297858406094,6.857602099034774,-1.0171750663343078,1.0171750663343078,0.606157190966074,19.343027690926398,-8.666686546495066,8.666686546495066,1.496137408495002,0.9509475450234681,1.8155560947170635,cheap,overweight,-0.33695857719619016,0.5694306980667888
Banks (Regional),568.0,11.00251498249285,0.13958064516129032,0.9023849868380412,1.1380354084653936,0.09754318761860904,,3.674198460336103,0.2749474644728205,4.276272252419073,-0.0012057021094349254,,0.3984765556409175,0.5210229274429405,0.17609708151159398,0.2268255755296142,0.6391118692146253,0.06234100896808212,-0.013024346742433664,0.328788112408653,0.36088813078537474,0.027005965406859817,0.05727205438158492,0.0354795,0.04980706468584031,1.0438310394760888,0.3492762078629307,-0.2742591715659453,,2.1751473284618834,,2.681418672468645,,0.3729493585910248,2.4282830004652642,2.0553336418742396,18.85641761536821,-7.853902632875359,7.853902632875359,0.5392332153293078,,,,,5.126351121833586,-1.4521526614974833,1.4521526614974833,0.8653699911455793,,,,,0.7023016032374436,1.7378904415741359,cheap,overweight,-0.33695857719619016,0.5694306980667888
Bank (Money Center),15.0,13.043519160123855,0.13737777777777777,1.0314602501320034,1.6223296378573757,0.12860334221749448,,4.0936392297248,0.2888846768058161,8.30955725045144,0.0007750801437471605,,0.7610461819725333,1.6418966357638234,0.1843478364577707,0.22738717670540012,0.7188916594931534,0.09245187010310052,0.017948244308411583,0.1906379954861498,0.2811083405068467,0.019837579116662663,0.07344265971597498,0.0354795,0.049849161250959236,0.9106532487724995,0.31886382556140913,-0.4387824625677217,,1.1427963507418217,,2.1913299012972853,,0.2635782039220624,1.6670631260195536,1.4034849220974912,24.37623245772904,-11.332713297605183,11.332713297605183,0.7780813839342928,,,,,6.969406778090805,-2.8757675483660057,2.8757675483660057,1.7137336891976302,,,,,1.2459075365659615,1.4986008902381167,cheap,overweight,-0.33695857719619016,0.5694306980667888
Telecom. Services,39.0,26.498753596415686,0.5942399999999999,0.13498434637043566,1.6363123432712194,0.19817526096196145,0.12036566743047672,1.392285064367891,0.14196223860576973,2.614800563000675,0.20823790500775086,6.535199474016229,0.6287201518745624,0.9606320738181406,0.034002984466728295,0.6028775992480886,0.5231829095047204,0.10368190962193621,0.009079285207758405,0.6028725777224047,0.47681709049527965,0.04861793270972969,0.06754091877360549,0.039684750000000005,0.05389249919761376,0.03268424936353995,0.31798574905987975,0.620808568827741,1.0382678693885163,3.2043954674945265,1.1190111815808284,1.8997801000797505,1.8060087007155614,0.5024366091599193,2.0072988624676666,1.5048622533077474,30.762817313658097,-4.264063717242411,4.264063717242411,0.2927620695210822,1.7005062770211783,-0.06419393374995885,0.06419393374995885,0.007850500646151212,2.8153630869833655,-1.4230780226154744,1.4230780226154744,0.8480437687317877,9.807575558264789,-3.2723760842485596,3.2723760842485596,0.5649130435308799,0.4283923456074753,1.3757362557235902,cheap,overweight,-0.33695857719619016,0.5694306980667888
Hospitals/Healthcare Facilities,31.0,15.651865383846461,0.14980000000000002,1.042283538920814,5.622736292515395,0.5083628028154341,0.22163970318779982,1.0811202513149862,0.0629514925775366,1.6887450167827869,0.12855081802384957,8.864021416745029,0.7996783314027625,0.5992038400269105,0.11347796258733156,0.5645694737555678,0.9066461682492271,0.46090518725305074,0.029611844166866057,1.950308515636748,0.09335383175077289,0.005435808865290764,0.07516565358056321,0.039684750000000005,0.06187135479202336,0.7404557590894438,0.06764898722696597,0.7428612227984736,0.7666254849885179,0.8041874620433598,3.4658523074785483,3.194852196368309,1.503425861194294,0.5793978635258503,2.242079456771128,1.6626815932452776,25.129682390144026,-9.477817006297565,9.477817006297565,0.6507279218379556,2.3444365830588856,3.278299709456509,-3.278299709456509,-0.4009147357694872,0.07408189009095523,1.007038361224031,-1.007038361224031,-0.6001165034790779,9.669468145947835,-0.8054467292028065,0.8054467292028065,0.1390449482216014,-0.05281459229725202,1.3241218371437757,cheap,overweight,-0.33695857719619016,0.5694306980667888
Insurance (Prop/Cas.),57.0,16.357471629790005,0.15332857142857143,0.7681827655726569,2.0238527600266036,0.18714725400678406,0.18488979223477825,1.3601061020692313,0.1113297623048451,1.4887819132240936,0.15300408913331123,8.4356789458995,0.4841100151289049,0.1482928711512957,0.1836669176395358,0.28696879528535113,0.7751429872779724,0.1450658815316881,-0.010506217293196982,1.4802983119047362,0.2248570127220276,0.01840538597748798,0.06109130667474916,0.0354795,0.057783745996990626,0.6944141674203436,0.2936492474120019,0.6334305864396996,0.8165889313067564,1.5984866918160707,1.4607926251072,2.114571750669643,1.7734324124950547,0.6095207331447003,1.736820870021992,1.1273001368772917,20.377788106636693,-4.020316476846688,4.020316476846688,0.2760268724719036,2.7285588644879875,-0.7047061044613838,0.7047061044613838,0.0861809738903083,1.238269738805179,0.12183636326405223,-0.12183636326405223,-0.07260499215716266,8.841921700246793,-0.40624275434729284,0.40624275434729284,0.07013002933108553,0.0899332208840337,1.0780658103668086,cheap,overweight,-0.33695857719619016,0.5694306980667888
Financial Svcs. (Non-bank & Insurance),176.0,16.37554965999033,0.22023033898305083,1.0025962024935515,3.660922776908981,0.28817318153849353,,5.221074316001077,0.2218853645963704,18.9059051763244,0.18536600836987463,57.52355973366111,0.9697132427444908,2.721299675975284,0.12056567700542625,0.42469192147740364,0.8147591858951482,0.23479174678711773,0.02380286567733603,0.07085584556984825,0.1852408141048518,0.0078723693799602,0.0827492106264043,0.038003999999999996,0.05002808150982288,0.6932345558601426,0.19084562889626688,-0.8810125563551748,-4.909202610620189,0.8259019176962235,,1.5447925600696537,,-1.2265337455547385,1.1853472388829385,2.411880984437677,29.072838909657065,-12.697289249666735,12.697289249666735,0.8717704341538792,,,,,5.670003690538211,-0.44892937453713433,0.44892937453713433,0.2675269750685647,,,,,0.569648704611222,0.9390678251742518,cheap,overweight,-0.33695857719619016,0.5694306980667888
Household Products,110.0,16.850918279056067,0.08024823529411765,2.4493089179371963,5.847090055850471,0.2702119723935352,0.34419837512001855,2.6734443296061743,0.11678213022511653,3.059468148726035,0.1879000635250528,13.173520164126762,0.8155158251324154,0.18147628375519134,0.06500436608160612,0.5546378639806525,0.32753726284693185,0.08850448982624924,0.011319961336635119,2.2144292627404347,0.6724627371530681,0.029374702166817302,0.07587200580090572,0.039684750000000005,0.07031359655279625,0.6622162252017147,0.053560170951170855,0.11828102740248354,0.2639496496964994,0.7686458257981281,1.9655004387549309,0.6540026454183268,2.0398857072524166,0.27450176831296713,1.3570086543059505,1.0825068859929834,24.315669932809474,-7.464751653753407,7.464751653753407,0.5125148889724079,8.553829137569409,-2.706739081718938,2.706739081718938,0.3310165878409548,3.1343917006195943,-0.46094737101342,0.46094737101342,0.27468876582240065,11.509291343052537,1.664228821074225,-1.664228821074225,-0.287297225086749,0.20773075438725364,0.8972974943384717,cheap,overweight,-0.33695857719619016,0.5694306980667888
Oil/Gas (Production and Exploration),142.0,16.144658214240128,0.04896206896551724,2.590541757883193,1.355720743666191,0.12211066139642923,0.13731095270967508,2.00440454161324,0.14630440788275073,2.6825885994843817,0.2582417593468005,5.14585933864515,0.72140595546977,0.37587625587778695,0.06664478996170788,0.42219200974609405,0.5830121872219856,0.07119200378385548,0.19048691874575868,0.5740994431768883,0.4169878127780144,0.030436548000290026,0.07167470561395174,0.038003999999999996,0.06247619033696484,0.7083004792788102,0.33560615103843955,0.3807081345531567,1.2003256292327893,0.6569793037962594,0.44814097686085785,1.3154795963026529,0.997881470807251,0.656235098525799,0.8546203369417552,0.19838523841595623,22.198452702244314,-6.053794488004186,6.053794488004186,0.41564139757029556,3.6181959144714373,-2.262475170805246,2.262475170805246,0.2766860005727731,3.489144680988153,-1.484740139374913,1.484740139374913,0.8847895922591203,15.577910908228853,-10.432051569583702,10.432051569583702,1.8008938614394903,0.8445027129604198,0.8505732873492211,cheap,overweight,-0.33695857719619016,0.5694306980667888
