window,method,signal,sample,n_obs,corr_nominal,corr_real,forecast_rho,forecast_mad_paper_pct,forecast_beta_paper,forecast_count,high_cutoff_pct,low_cutoff_pct
paper_aligned,quartile,DY,All,577,0.2142646008011898,0.3643121200298825,0.3925157523797268,0.9855664181377813,0.2642940862402753,558,5.393401015228426,3.2012477200031717
paper_aligned,quartile,DY,H+L,289,0.2986566451890132,0.45093840149621495,0.49119264195723966,1.1026564767177502,0.2682938430335942,270,5.393401015228426,3.2012477200031717
paper_aligned,quartile,DY,Middle,288,0.03908091825567397,0.09987491714695573,0.2139565561783473,0.9002434329160031,0.1759514644916652,269,5.393401015228426,3.2012477200031717
paper_aligned,quartile,EY,All,577,0.4913874444980631,0.48779805026119966,0.4852696608808003,0.9040413689213692,0.22749610501844839,558,8.80524861878453,5.491384832814904
paper_aligned,quartile,EY,H+L,289,0.6325382562794442,0.610609872423456,0.6140283956187248,0.8533245672747474,0.22060900738925415,270,8.80524861878453,5.491384832814904
paper_aligned,quartile,EY,Middle,288,0.10509608773411151,0.179688790073857,0.10243621839139154,0.9627599051428853,0.22637351555374177,269,8.80524861878453,5.491384832814904
paper_aligned,quartile,CY,All,538,0.4868193077005398,0.519175282582542,0.5682533663550128,0.8940025295914913,0.21940618516163932,519,8.557595082908723,5.014185683092423
paper_aligned,quartile,CY,H+L,269,0.5801769262840221,0.6675389823436664,0.7114846071196183,0.8645454418411717,0.22401445339888748,250,8.557595082908723,5.014185683092423
paper_aligned,quartile,CY,Middle,269,0.21696298422065788,0.10786160098795555,0.2318769135163128,0.9742554654672815,0.1302877001399241,250,8.557595082908723,5.014185683092423
paper_aligned,decile,DY,All,577,0.2142646008011898,0.3643121200298825,0.3925157523797268,0.9855664181377813,0.2642940862402753,558,6.643952299829642,1.964209325538286
paper_aligned,decile,DY,H+L,115,0.44462560340488605,0.5981607267887067,0.6093672659929878,0.99325514624566,0.25130403491263353,96,6.643952299829642,1.964209325538286
paper_aligned,decile,DY,Middle,462,0.09575293448293672,0.25281161608678704,0.31866169127356075,1.0097570698340395,0.28554850163226597,443,6.643952299829642,1.964209325538286
paper_aligned,decile,EY,All,577,0.4913874444980631,0.48779805026119966,0.4852696608808003,0.9040413689213692,0.22749610501844839,558,11.020408163265305,4.5905575761856
paper_aligned,decile,EY,H+L,115,0.7408418248969812,0.6749122056618215,0.6993723878199853,0.8086074248985697,0.19618030969027103,96,11.020408163265305,4.5905575761856
paper_aligned,decile,EY,Middle,462,0.2979767894106037,0.38883725523584145,0.3780524412169209,0.91581176449851,0.28410645820744973,443,11.020408163265305,4.5905575761856
paper_aligned,decile,CY,All,538,0.4868193077005398,0.519175282582542,0.5682533663550128,0.8940025295914913,0.21940618516163932,519,11.015848696159674,3.9956238864457037
paper_aligned,decile,CY,H+L,107,0.671717534835753,0.8226720106425071,0.7393912665236494,0.7067261383448512,0.22264289275213972,88,11.015848696159674,3.9956238864457037
paper_aligned,decile,CY,Middle,431,0.4245207364780318,0.3320187743137189,0.4172745595153023,0.9562320519370886,0.23000903693726393,412,11.015848696159674,3.9956238864457037
paper_aligned,zscore,DY,All,577,0.2142646008011898,0.3643121200298825,0.3925157523797268,0.9855664181377813,0.2642940862402753,558,6.1397734854362715,2.6260323060567954
paper_aligned,zscore,DY,H+L,160,0.35977774122359607,0.51409525696767,0.534814437735276,1.0051025643168943,0.23085097262828058,141,6.1397734854362715,2.6260323060567954
paper_aligned,zscore,DY,Middle,417,0.10049550203350802,0.27226320517142844,0.29081476003916645,0.9833977585034608,0.35889570491292455,398,6.1397734854362715,2.6260323060567954
paper_aligned,zscore,EY,All,577,0.4913874444980631,0.48779805026119966,0.4852696608808003,0.9040413689213692,0.22749610501844839,558,10.117393874329379,4.6516448121278735
paper_aligned,zscore,EY,H+L,152,0.6992176349196514,0.6463091254963541,0.6820298422439997,0.8741774507364171,0.20434242872213607,133,10.117393874329379,4.6516448121278735
paper_aligned,zscore,EY,Middle,425,0.19161048717039864,0.29123193134305686,0.2537615256262824,0.9233570572645168,0.24373231973708542,406,10.117393874329379,4.6516448121278735
paper_aligned,zscore,CY,All,538,0.4868193077005398,0.519175282582542,0.5682533663550128,0.8940025295914913,0.21940618516163932,519,10.101759056201345,4.002337792118641
paper_aligned,zscore,CY,H+L,127,0.645372485966495,0.8063078912547186,0.7273428154356953,0.6881888985006879,0.2220507858034208,108,10.101759056201345,4.002337792118641
paper_aligned,zscore,CY,Middle,411,0.4284545537198769,0.318308488044519,0.40760537957656773,0.9791021884856126,0.24876008231733662,392,10.101759056201345,4.002337792118641
latest_online,quartile,DY,All,579,0.20836157287465282,0.35902052326340167,0.3897672327967117,0.9880244343773428,0.2600287768230472,560,5.393401015228426,3.1628532974428
latest_online,quartile,DY,H+L,289,0.2908330159033314,0.44534619986064583,0.48914723252691555,1.1030545176861717,0.2633606567166348,270,5.393401015228426,3.1628532974428
latest_online,quartile,DY,Middle,290,0.03776663111406128,0.10226457936372038,0.215206158199662,0.9057775689219533,0.17978205585902354,271,5.393401015228426,3.1628532974428
latest_online,quartile,EY,All,579,0.48577913630731434,0.4834134229862487,0.48150183757630327,0.9068774428556782,0.22534015063180804,560,8.80524861878453,5.476326297775242
latest_online,quartile,EY,H+L,289,0.6228875808242693,0.6031435712251003,0.6068549372480312,0.8598808192179175,0.2172991521501686,270,8.80524861878453,5.476326297775242
latest_online,quartile,EY,Middle,290,0.10945334357981616,0.18426688832760804,0.10693992563590679,0.9597067896249143,0.23075774338697147,271,8.80524861878453,5.476326297775242
latest_online,quartile,CY,All,540,0.4810324123496147,0.5141045727843577,0.5646885389747508,0.8975411702687826,0.21717128717581233,521,8.553938352399648,4.9283507276751735
latest_online,quartile,CY,H+L,270,0.569942779665707,0.658777205720997,0.7063072671000562,0.8684959509683475,0.21957732428124235,251,8.553938352399648,4.9283507276751735
