region,sector,n_industries,total_firms,sector_score,raw_sector_score,adjusted_sector_score,regression_sector_score,quality_overlay_delta,valuation_regime,sector_action,score_q25,score_q75,proxy_ticker,proxy_name,proxy_precision,region_action,portfolio_action,execution_note
europe,Financials,7,465.0,1.0042027489832035,-0.0674758724042453,1.2700511902625917,0.6054300870641213,1.337527062666837,cheap,overweight,-0.3249702221734698,0.16887404440359532,EUFN,iShares MSCI Europe Financials ETF,direct,underweight,relative_overweight,Direct sector ETF proxy available.
europe,Utilities,3,99.0,0.3825941402363529,0.44393534425703235,0.5287594308408514,0.16334620432960512,0.08482408658381901,cheap,overweight,-0.3249702221734698,0.16887404440359532,VGK,Vanguard FTSE Europe ETF,broad_region_proxy,underweight,relative_overweight,Use broad Europe beta proxy; sector purity is limited in the current ETF set.
europe,Consumer Staples,7,354.0,0.20688153485286073,-0.03989455599404864,0.5941157282921369,-0.3739697553060533,0.6340102842861856,cheap,overweight,-0.3249702221734698,0.16887404440359532,VGK,Vanguard FTSE Europe ETF,broad_region_proxy,underweight,relative_overweight,Use broad Europe beta proxy; sector purity is limited in the current ETF set.
europe,Energy,6,258.0,0.13086655395432992,0.6688299079841347,-0.011317647707993336,0.3441428564478149,-0.6801475556921279,neutral,market_weight,-0.3249702221734698,0.16887404440359532,VGK,Vanguard FTSE Europe ETF,broad_region_proxy,underweight,underweight,Use broad Europe beta proxy; sector purity is limited in the current ETF set.
europe,Industrials,23,8529.0,0.07655285441315642,-0.02273139395125884,0.030445609073726978,0.14571372242230043,0.05317700302498588,neutral,market_weight,-0.3249702221734698,0.16887404440359532,VGK,Vanguard FTSE Europe ETF,broad_region_proxy,underweight,underweight,Use broad Europe beta proxy; sector purity is limited in the current ETF set.
europe,Consumer Discretionary,13,738.0,0.04765554915251867,0.04909758282080983,-0.034865203085761166,0.1714366775099384,-0.08396278590657089,neutral,market_weight,-0.3249702221734698,0.16887404440359532,VGK,Vanguard FTSE Europe ETF,broad_region_proxy,underweight,underweight,Use broad Europe beta proxy; sector purity is limited in the current ETF set.
europe,Materials,8,449.0,0.004237148848641911,0.38831666653481317,-0.21281867900216125,0.32982089062484654,-0.6011353455369745,neutral,market_weight,-0.3249702221734698,0.16887404440359532,VGK,Vanguard FTSE Europe ETF,broad_region_proxy,underweight,underweight,Use broad Europe beta proxy; sector purity is limited in the current ETF set.
europe,Real Estate,4,353.0,-0.12705086875544977,-0.514149090869583,0.13374004366173362,-0.518237237381225,0.6478891345313167,neutral,market_weight,-0.3249702221734698,0.16887404440359532,VGK,Vanguard FTSE Europe ETF,broad_region_proxy,underweight,underweight,Use broad Europe beta proxy; sector purity is limited in the current ETF set.
europe,Communication Services,9,539.0,-0.5228895755914899,-0.24231203992965547,-0.40251480461867667,-0.7034517320507092,-0.1602027646890213,expensive,underweight,-0.3249702221734698,0.16887404440359532,VGK,Vanguard FTSE Europe ETF,broad_region_proxy,underweight,high_conviction_underweight,Use broad Europe beta proxy; sector purity is limited in the current ETF set.
europe,Technology,8,777.0,-0.6652885326800254,-0.9725187049356885,-0.6036946978165808,-0.7576792849751925,0.3688240071191076,expensive,underweight,-0.3249702221734698,0.16887404440359532,VGK,Vanguard FTSE Europe ETF,broad_region_proxy,underweight,high_conviction_underweight,Use broad Europe beta proxy; sector purity is limited in the current ETF set.
europe,Health Care,5,553.0,-1.4226718345366327,-0.9355350033202393,-1.802530859588188,-0.8528832969592998,-0.8669958562679483,expensive,underweight,-0.3249702221734698,0.16887404440359532,VGK,Vanguard FTSE Europe ETF,broad_region_proxy,underweight,high_conviction_underweight,Use broad Europe beta proxy; sector purity is limited in the current ETF set.
